REF_AREA,TIME_PERIOD,Forest exposure to areas at risk of burning_Percentage of forested area,Amount of burned area_Percentage of land area,Population exposure to areas at risk of burning_Percentage of population,Land soil moisture anomaly_Percentage change,Cropland soil moisture anomaly_Percentage change,Fine particulate matter (PM2.5)_Microgrammes per cubic metre,Age-adjusted mortality rate_Total
US21,-0.10923195640695449,-0.6531818821785027,-0.30945654943269296,-0.2988041149912601,1.054046988312595,0.8922555746566236,-0.6504625884762646,10.3
CH07,0.9354401606407478,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.2309831011673028,-0.03353997459590299,0.022378049395296317,6.41
ES61,0.7613281411327975,2.2525818183794,-0.23033073979434326,-0.2988041149912601,0.4756380929667298,0.5918892858435235,-0.42882733956370206,7.14
PL21,0.9354401606407478,-0.22627185391919766,-0.3229612276348091,-0.2988041149912601,-1.0115466877665333,-1.142812232613301,1.5020359028311412,9.06
ITF3,0.587216121624847,-0.5261570642043132,-0.3229612276348091,-0.2988041149912601,1.3268381882220677,1.2683280060598416,-0.06524879015133622,7.82
CO81,0.0648800631009959,1.6708006780209657,3.9713956007419045,5.171524006190554,0.2061107040605998,-0.1503660732242861,0.41648114160415123,7.37
PE10,-0.9797920539467064,-0.6531818821785027,-0.20377436581222463,-0.2988041149912601,0.22300306640288,0.1751646185795612,5.893745636731489,9.73
CO66,1.4577762191645989,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.07386491102279945,0.0642035452987571,0.23862618269154925,6.63
ME20,-1.1539040734546568,1.9341466001213028,0.7343823447394313,1.4259442066172745,-0.2612493771255591,-0.125967538601025,0.7270757580853584,8.69
CA46,1.6318882386725493,-0.630979323364368,-0.27131817548720955,-0.298798300949128,0.15080854332229923,0.17285385519032964,-1.2910410805560255,7.85
ME19,-0.28334397591490484,0.8075126075899608,-0.25007130677880784,-0.2988041149912601,-0.1735443362059749,-0.2207985984493667,0.5396750221937213,9.95
FRH,0.587216121624847,-0.6531818821785027,-0.3168042168082181,-0.2988041149912601,0.05738012000545062,0.08385397570196684,-0.6760434918184839,7.18
RU70,-1.5021281124705574,-0.6531818821785027,-0.2762069927080027,0.04144825571658608,0.4255678766471578,0.652540680570296,-0.1175084960779009,22.26
EL62,1.4577762191645989,-0.4732266436092255,-0.20808641150261598,-0.2988041149912601,-0.20892862094225786,-0.12084234917565033,-0.28237206870423126,7.77
TR21,0.9354401606407478,1.2597581465250014,-0.24436073991097484,-0.2988041149912601,0.7864794169863069,0.8318290541236218,0.6665692783544571,10.19
EL43,-0.10923195640695449,1.8159991832783582,-0.3020983498866904,-0.2988041149912601,1.7143718519604525,1.722372268913533,0.5889818324781143,7.56
FI20,1.1095521801486983,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-1.1086141037953445,-1.1501417051102272,-1.2795284448076252,7.85
TRB2,1.4577762191645989,1.8047826736137491,-0.14147941261724314,-0.2988041149912601,1.1443854306863965,1.1396391071986272,0.9759422132785074,9.17
US27,0.587216121624847,-0.6531818821785027,-0.29840192806131344,-0.2988041149912601,0.16273163710156857,0.1681051165991289,-0.9738091086980843,7.61
CO08,-0.45745599542285525,0.9090800885172609,-0.3229612276348091,-0.2988041149912601,0.71317500987986715,0.6829399796604932,0.44208125682856825,6.41
CO63,1.2836641996566485,-0.43939463114333416,-0.3229612276348091,-0.2988041149912601,0.040582611914940614,0.050462931954395766,0.18827818320977882,7.01
CR04,-0.28334397591490484,-0.6531818821785027,-0.31906771897203284,-0.2988041149912601,0.5307026226186249,0.5950099258738476,0.174353632234141,5.46
CL04,-0.10923195640695449,1.0700841798873117,-0.3095851913932274,-0.2988041149912601,-2.0316244575511377,-1.0110964386076593,-0.1614830495870429,5.76
CO27,1.6318882386725493,-0.61041416857355,-0.24626341377248026,-0.23178517536476656,-0.10043301075628015,-0.28303874955371333,-0.07347592313603438,4.1
BR13,-0.9797920539467064,1.712396510967671,-0.22469781803536815,-0.2988041149912601,0.938589597948494,1.1853672831421664,-0.36767158400199895,11.86
UKD,1.2836641996566485,-0.6531818821785027,-0.3213748298665361,-0.2988041149912601,0.6380198200296573,0.6863653500591633,-0.6560788469883544,8.22
US17,0.7613281411327975,-0.6531818821785027,-0.30589900235524153,-0.2988041149912601,0.8250141557284402,0.8392036555905896,-0.6586569754737382,8.38
CL13,1.6318882386725493,1.7141631789746068,-0.20191842417466419,-0.25840095248951955,-2.702906144477927,-1.5911433525770264,1.0821671029702291,5.36
ES13,1.4577762191645989,-0.6531818821785027,-0.3160562376836494,-0.2988041149912601,0.8376545054323149,0.8001203238883556,-0.7033334060892649,6.53
ES70,-0.9797920539467064,1.9743391889927675,-0.3229612276348091,-0.2988041149912601,0.8944767669667993,0.3094035444760687,-0.5766339891169068,9.03
RU31,0.7613281411327975,1.6526509902452222,0.27908184419034326,-0.2974946553791379,-1.2936070689796297,-1.2381373905047444,-0.521774583666838,13.5
LV00,-0.9797920539467064,-0.6531818821785027,-0.30237123862405163,-0.2988041149912601,0.3584132122256336,0.38345313123200037,0.27072605467695854,11.61
SE11,1.1095521801486983,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.48792996863804766,-0.530343284453938,-1.1762769043012848,7.06
US02,1.1095521801486983,-0.6270097035730635,-0.28492579456064737,-0.2988041149912601,0.3676420231405395,0.4872552732384426,-1.2925903687271838,9.02
RU05,0.0648800631009959,-0.5416715393298938,0.8848043989777641,-0.24483695250978582,-0.7698751735937411,-0.7544265502263112,-0.022863675615337243,17.29
PE25,0.587216121624847,-0.6531818821785027,-0.24753496700467303,-0.2988041149912601,0.19966483922843625,0.06848438236255003,1.6425896717806718,5.26
DEU,0.587216121624847,-0.6531818821785027,-0.32174111663934213,-0.2988041149912601,0.41295395104944116,0.42559238223402135,-0.2440889506375189,8.12
EL63,0.7613281411327975,0.2845250414036537,-0.3229612276348091,0.4848016149974047,1.657222306940264,1.6735719239145612,-0.06624652121330711,7.39
ITG1,0.7613281411327975,0.8025218070149881,1.5516774671481026,-0.24034510779876728,0.5744670441052642,0.6015672134164443,-0.548555857148124,7.15
FIN,0.41310410211689663,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.6906434396686244,0.8544633089485675,-1.0777683395419095,7.84
CH03,0.41310410211689663,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.433177545744825,0.43787611558437634,-0.2791956740799684,6.76
US04,0.9354401606407478,2.155891269124771,-0.26199896401741496,-0.24351993946347458,-0.7137714144613503,-0.9854312395918252,-0.9640268743111281,7.73
ME07,-1.5021281124705574,1.22623544860931,0.35857185862405,2.3427998474380463,-0.06676005790393182,-0.13316839247907206,1.1671660234249117,8.44
CZ08,-1.5021281124705574,-0.6531818821785027,-0.30050909216661026,-0.2988041149912601,0.802412939157534,0.8989059006238974,1.6541830606461365,13.24
US40,0.587216121624847,0.8978157974404535,-0.18445294516320582,-0.2819215887275266,-0.7300839766400148,-1.1140945830991373,-0.7773093341715648,10.36
CH04,-1.3280160929626073,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.6470677878644588,0.6711641990974887,-0.02244986386364765,8.03
CR06,-0.45745599542285525,-0.6531818821785027,-0.3041906001813747,-0.2988041149912601,0.7081057260513393,0.7122344305501037,0.6716407863172684,4.81
CZ06,-0.805680034438756,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.769758527082312,0.7763270672092921,0.6773056953653588,11.06
PE14,0.41310410211689663,1.2097447360337459,-0.3142292423847076,-0.2988041149912601,0.9991863234373898,0.6803992154518331,1.603363229979952,6.43
BE2,-1.1539040734546568,-0.6531818821785027,-0.32237865661127535,-0.2988041149912601,-1.8345679341321355,-1.7961722041689068,0.5578496659338498,9.09
US34,-0.805680034438756,-0.6531818821785027,-0.28784239829189007,-0.21359143370365194,-0.7507075735888717,-0.792998148190693,-0.41264070798144586,8.71
PL62,0.41310410211689663,-0.6531818821785027,-0.319842714257646,-0.2988041149912601,0.8480634842562291,0.7861462018246684,0.16301681568498574,10.26
KR07,0.41310410211689663,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.35768707631422697,0.3615711063250795,0.5581203480343822,6.71
SE32,0.41310410211689663,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,1.0657807157929418,1.2265309858317317,-1.2040412798202595,8.09
NO02,0.7613281411327975,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.7717031031427105,0.933679094869533,-1.0302682701955201,8.01
FRA,1.4577762191645989,-0.09581249004165912,-0.3202705131859532,-0.2788248555864729,-0.3934165717956298,-0.6748529940799196,-0.6178983352725109,6.71
ROU,-0.9797920539467064,-0.6531818821785027,-0.0514453867888101,-0.2988041149912601,0.42195941715954705,0.3917384189699938,0.5668620930692585,14.92
AU6,0.587216121624847,-0.6531818821785027,0.3491186853460265,1.0607157809717234,0.18992555238832698,0.4536617723729363,-1.0254170103205147,7.68
RU46,-1.6762401319785079,-0.6531818821785027,-0.07189415263268734,-0.2988041149912601,0.7549771411873094,0.7723021334810486,0.9363594147674533,16.84
DEC,-1.6762401319785079,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,1.2927319492190232,1.2684287142887463,-0.013544106696964084,10.72
AU1,0.587216121624847,0.958717887830586,0.10440552801018585,3.812988651503654,-1.1972624088820885,-1.4196014679839166,-0.9205784577239176,6.54
ITG1,1.2836641996566485,1.6574466230888159,0.5668606792315416,-0.2418474402063219,-0.9720545523579843,-0.8826976860806829,-0.5996626243862658,7.49
CO63,-0.45745599542285525,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.1811730124977679,0.23199095233204564,0.7947431226268004,8.13
EL65,-1.5021281124705574,1.939577774514789,-0.22361310040528226,1.217268096068368,-0.05743473901600611,0.08193980589966723,0.43697656265326457,8.69
RU71,0.41310410211689663,-0.40479460596240335,0.45909141125587705,0.05055030367911511,-1.1105923499148223,-1.491981227984576,-0.003728776400134408,16.64
PL22,-1.1539040734546568,-0.6531818821785027,-0.32102986886780266,-0.2988041149912601,-0.8403642626881032,-0.8971617517905509,2.92957097168652,12.39
FRH,-0.45745599542285525,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.9563181650050552,0.9561092624235904,-0.41707896882833284,7.7
CHE,1.4577762191645989,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.38794862043820705,-1.0119899993235386,-0.6469863891568329,6.29
CHL,-1.6762401319785079,-0.3870452151048884,-0.31648912401609275,0.3319590117849651,0.37785557314412854,0.46709805570938506,1.390006586544933,7.83
KR07,-0.6315680149308056,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.4312515468009902,0.4139831435740869,0.532611325576908,7.95
CO50,-0.45745599542285525,1.7683635393837862,6.702038136160509,1.7727272289665683,-0.47076917713361577,-0.36994670674066493,0.5696895809492571,7.68
BE2,-0.6315680149308056,-0.6531818821785027,-0.30779193519770015,-0.2988041149912601,0.4222515046136985,0.453231380144412,0.44496789292402955,8.01
CHE,1.1095521801486983,-0.6531818821785027,-0.32149266504640306,-0.2988041149912601,0.45070827424486354,0.3541520949588415,-0.5905645226410555,6.34
UKD,0.587216121624847,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,0.15359313083950532,-0.0016852664817929885,-0.51445386322062,8.4
BE2,0.9354401606407478,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.29706081388968814,-0.30388971970100304,-0.2526814705944537,7.13
CO73,-1.5021281124705574,1.0308865822600903,0.35835243032383274,0.9647528153223152,-0.9221708888594555,-0.8871611964375196,0.7175154198090051,8.24
JPF,0.41310410211689663,-0.6531818821785027,-0.2977680539509392,-0.2988041149912601,0.24842757728053363,0.2688006303086272,-0.37513441819491034,6.05
RU43,0.0648800631009959,1.2129678848457723,-0.19579635841715945,-0.21528628346958698,-2.2352305956362684,-2.2201523148588316,-0.04631718470721682,15.36
KR02,0.23899208260894628,-0.6531818821785027,-0.31550809044421535,-0.2988041149912601,0.3430678987870317,0.3213097419098097,0.8436591483273552,7.69
US54,1.2836641996566485,-0.6531818821785027,-0.3228026921676874,-0.2988041149912601,0.5184320303980829,0.6294388806786733,-0.9968921512954072,10.79
CL03,-0.6315680149308056,0.15269764326420512,-0.3229612276348091,-0.2988041149912601,-3.284460139438672,-3.2389887262751382,0.02746513455988973,6.79
ITI1,0.0648800631009959,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,2.0774631271444934,2.0860583979603624,0.052074517175310586,6.81
JPJ,1.1095521801486983,-0.6531818821785027,-0.28071063303199123,-0.2988041149912601,0.7560435838549973,0.7905050302589909,-0.1437134130932493,5.77
NZ21,-0.10923195640695449,-0.6531818821785027,-0.3229612276348091,-0.2988041149912601,-0.10515556278915834,-0.05970274780825553,-0.9567718603080793,8
GBR,1.4577762191645989,-0.6531818821785027,-0.3077966040980149,-0.2988041149912601,-0.3911360967571549,-0.5681824895194938,-0.6518173535182122,7.6
FRC,0.7613281411327975,-0.6531818821785027,-0.2964803740903846,-0.2988041149912601,0.10079369306768447,0.10533698712905432,-0.7240792137252848,6.74
RU53,-0.45745599542285525,-0.5273339921128667,0.12141816533066448,-0.2988041149912601,-0.08119193394388458,-0.06757790813548861,-0.281029155881031,16.11
FI1B,-0.805680034438756,-0.6531818821785027,-0.3216420740731376,-0.2988041149912601,0.19410209136633474,0.22631967668329125,-0.766652722100228,8.64
ME22,-0.805680034438756,1.7753059229738883,-0.3169231725663272,-0.2988041149912601,-1.538093960282984,-2.4532302848771708,0.8240876359491586,9.46
BG34,-1.3280160929626073,-0.30384348169335407,-0.04784939586599232,-0.2988041149912601,1.1170711146386825,1.024606919263552,0.768146518001424,15.22
LT01,0.23899208260894628,-0.6531818821785027,-0.30939593331811915,-0.2988041149912601,0.0726766472848004,0.09647411806623078,-0.2934928362373653,11.57
